controller,difficulty,seed,success,collision,timeout,steps,time_s,path_m,min_range_m,progress,max_tilt_deg,motor_saturation_frac,motor_effort,decision_us
flywire_bilateral_6dof,sparse,15011,True,False,False,1233,24.66,92.3869106574882,4.164644430182413,0.9752445740947849,34.68493134844626,0.0227088402270884,427.01697743628745,389.3522471852576
classical_vfh_6dof,sparse,15000,True,False,False,791,15.82,59.09525031870276,0.321327558895371,0.975845506272424,31.871378172911033,0.0,254.60199817080434,96.26389576376162
classical_vfh_6dof,sparse,15001,True,False,False,680,13.6,59.06666502211029,2.1333059531150123,0.9763007143063795,31.871378172911033,0.0,217.81449272036352,90.86572441875057
classical_vfh_6dof,sparse,15002,True,False,False,675,13.5,59.029898321168396,4.0860221199286,0.9757689058086161,31.871378172911033,0.0,216.00224320050174,92.12505310696699
classical_vfh_6dof,sparse,15003,True,False,False,824,16.48,59.07475534919715,0.07160172059585879,0.9751874349452915,31.871378172911033,0.0,268.2550607405862,86.43947675082724
classical_vfh_6dof,sparse,15004,True,False,False,726,14.52,58.98305930362385,0.8780437020235379,0.9753208922817714,31.871378172911033,0.0,234.26153087630132,93.42707190816137
classical_vfh_6dof,sparse,15005,True,False,False,811,16.22,59.311891392196166,0.6546665319527492,0.9757783884695652,31.871378172911033,0.008631319358816275,266.7084040105117,92.34932886684322
classical_vfh_6dof,sparse,15006,True,False,False,749,14.98,59.26520558041541,0.40590941947191683,0.9757969623317441,31.871378172911033,0.0,243.78750689996153,90.27666113824841
classical_vfh_6dof,sparse,15007,True,False,False,718,14.36,59.11932697138238,1.4654769611065461,0.9759735767409333,31.871378172911033,0.0,232.56719053312136,86.84112884414692
classical_vfh_6dof,sparse,15008,True,False,False,695,13.9,59.276910687255786,1.4918892529492447,0.9754892533260843,31.871378172911033,0.010071942446043165,225.78239615692962,93.12246519344292
classical_vfh_6dof,sparse,15009,True,False,False,687,13.74,59.074235376497185,2.0106330133699495,0.9760633047489606,31.871378172911033,0.0,220.48988112150005,93.2887985051588
classical_vfh_6dof,sparse,15010,True,False,False,675,13.5,59.029898321168396,2.623488020809837,0.9757689058086161,31.871378172911033,0.0,216.00224320050174,88.45512759348256
classical_vfh_6dof,sparse,15011,True,False,False,725,14.5,59.19537858676238,0.5262049093851271,0.9752918359978524,31.871378172911033,0.012413793103448275,237.54370434604624,91.19178611109709
fly_heuristic_6dof,cluttered,15000,True,False,False,984,19.68,73.55843846912339,2.6069848373374587,0.975157093024954,30.297601922267727,0.04878048780487805,341.15084334838065,99.90694040122132
fly_heuristic_6dof,cluttered,15001,True,False,False,1235,24.7,84.86328718698256,1.23091163721341,0.9752662152938755,29.51990039750708,0.045344129554655874,424.7940719044999,101.61033362861494
fly_heuristic_6dof,cluttered,15002,True,False,False,1827,36.54,118.5405649758407,0.9720549200314701,0.975061763601728,27.338628829466877,0.0481663929939792,620.2706176944565,100.62347630373074
fly_heuristic_6dof,cluttered,15003,True,False,False,1326,26.52,91.35823284985011,1.598770895009346,0.9753788850488743,28.90576871340892,0.049773755656108594,461.3916673306315,98.94939135978873
fly_heuristic_6dof,cluttered,15004,True,False,False,1807,36.14,114.96571915968433,0.9107032072252865,0.9752478089144542,29.802431323842907,0.06640841173215274,623.9940870206758,106.81860004675336
fly_heuristic_6dof,cluttered,15005,True,False,False,1890,37.800000000000004,120.69961746111244,0.9637843199464513,0.9750812672755338,30.568268797075568,0.05291005291005291,677.542818521684,104.34157388820363
fly_heuristic_6dof,cluttered,15006,True,False,False,2380,47.6,148.35647739224194,0.6370502417334687,0.9762692354954365,38.68591677035842,0.07226890756302522,846.8568294682091,109.88848771070357
fly_heuristic_6dof,cluttered,15007,True,False,False,1205,24.1,84.96344776968706,0.9864609139017695,0.9755662148138441,26.170791671777668,0.07302904564315353,417.6448875692862,103.17112901248038
fly_heuristic_6dof,cluttered,15008,True,False,False,1408,28.16,96.27022848624392,1.2522145420394295,0.9756862254012479,31.65523174819273,0.048295454545454544,491.71389894001095,98.44634570816362
fly_heuristic_6dof,cluttered,15009,True,False,False,1020,20.400000000000002,76.94215630711608,1.6109936762726154,0.9750919762772909,31.187419745717047,0.01568627450980392,344.5873157994214,104.98648363293385
fly_heuristic_6dof,cluttered,15010,True,False,False,2127,42.54,136.5479562543114,1.0854667301845609,0.9761307831155309,45.891485832062806,0.05077574047954866,760.9821272174418,104.50594457605139
fly_heuristic_6dof,cluttered,15011,True,False,False,1916,38.32,123.61830398307751,1.4188644425283266,0.9761149921839088,30.78804556548178,0.081419624217119,674.152726920582,107.60181468264015
modified_fly_6dof,cluttered,15000,True,False,False,1043,20.86,78.41125500914166,2.118893031305509,0.9759534818121869,27.887818135939654,0.003835091083413231,356.37536435398573,122.57792835277273
modified_fly_6dof,cluttered,15001,True,False,False,1180,23.6,85.66490108454612,1.853821719525019,0.9751556984075911,41.70644296228472,0.02711864406779661,417.6750736756957,116.77641137424162
modified_fly_6dof,cluttered,15002,True,False,False,1289,25.78,84.99991549099362,0.6557212766250213,0.9750657592006772,32.68102895214742,0.015515903801396431,440.1472490059092,123.53425247208345
modified_fly_6dof,cluttered,15003,True,False,False,1502,30.04,93.69312428868967,1.247125572846866,0.9755982890846079,31.318355212811213,0.010652463382157125,513.6324587459743,119.02529792117073
modified_fly_6dof,cluttered,15004,True,False,False,936,18.72,69.72183002507595,3.623390016323693,0.9755467961505763,28.440819484918887,0.004273504273504274,316.6116560164589,121.41041100447057
