rank,node_index,root_id,type,side,gate,is_input,is_output
331,193,720575940624755504,LPLC2,left,0.003716846462339163,True,False
332,240,720575940627902979,LPLC2,right,0.0037163591478019953,True,False
333,257,720575940628847164,LPLC2,left,0.0037157093174755573,True,False
334,355,720575940641704656,LPLC2,left,0.0037154867313802242,True,False
335,11,720575940608875531,LPLC2,left,0.003713902086019516,True,False
336,68,720575940615116731,LPLC2,right,0.0037136091850697994,True,False
337,43,720575940613145258,LPLC2,left,0.003713173558935523,True,False
338,174,720575940623333770,LPLC2,right,0.0037130233831703663,True,False
339,80,720575940616008854,LPLC2,left,0.003712952835485339,True,False
340,335,720575940638835288,LPLC2,left,0.0037128329277038574,True,False
341,93,720575940617294219,LPLC2,left,0.003712654812261462,True,False
342,24,720575940611567638,LPLC2,left,0.00371140637435019,True,False
343,310,720575940634700980,LPLC2,left,0.003709557233378291,True,False
344,129,720575940619900993,LPLC2,left,0.0037093423306941986,True,False
345,338,720575940638922624,LPLC2,right,0.003708943957462907,True,False
346,160,720575940622156799,LPLC2,left,0.0037087025120854378,True,False
347,9,720575940607854531,LPLC2,left,0.0037084065843373537,True,False
348,58,720575940614373279,LPLC2,right,0.0037075821310281754,True,False
349,134,720575940620306904,LPLC2,left,0.0037064040079712868,True,False
350,88,720575940616735489,LPLC2,right,0.0037063127383589745,True,False
351,189,720575940624359093,LPLC2,left,0.003705747192725539,True,False
352,323,720575940636529520,LPLC2,left,0.0037042160984128714,True,False
353,155,720575940621753579,LC4,right,0.0037040470633655787,True,False
354,334,720575940638626118,LPLC2,left,0.0037029737140983343,True,False
355,172,720575940623047629,LPLC2,right,0.0037024691700935364,True,False
356,36,720575940612560680,LPLC2,left,0.0037024496123194695,True,False
357,312,720575940635004271,LPLC2,left,0.0037017585709691048,True,False
358,343,720575940639884878,LPLC2,left,0.003700160188600421,True,False
359,222,720575940626447848,LPLC2,right,0.003699615364894271,True,False
360,161,720575940622174463,LPLC2,right,0.0036983201280236244,True,False
361,3,720575940605825666,LPLC2,right,0.003697754582390189,True,False
362,14,720575940610116757,LPLC2,right,0.003697754582390189,True,False
363,13,720575940609592674,LPLC2,right,0.003697754582390189,True,False
364,259,720575940628884496,DNp03,right,0.003697754582390189,False,True
365,215,720575940626161930,LPLC2,right,0.003697754582390189,True,False
366,182,720575940624014524,LPLC2,right,0.003697754582390189,True,False
367,170,720575940622992205,LPLC2,right,0.003697754582390189,True,False
368,107,720575940618450496,LPLC2,right,0.003697754582390189,True,False
369,229,720575940626873000,LPLC2,right,0.003697754582390189,True,False
370,197,720575940624919077,LPLC2,right,0.003697754582390189,True,False
371,325,720575940636878682,LPLC2,right,0.003697754582390189,True,False
372,5,720575940606217138,LPLC2,right,0.003697754582390189,True,False
373,183,720575940624016778,LPLC2,right,0.00365636870265007,True,False
374,209,720575940625845447,LC4,right,0.003629604121670127,True,False
375,208,720575940625841351,LC4,right,0.0035596038214862347,True,False
376,97,720575940617997241,LPLC2,left,0.0033052845392376184,True,False
377,154,720575940621726698,PVLP100,left,0.003219419391825795,False,False
